PROG,TESTSUITEID,TOTALDIVERSITY
ALG1,1,58.44072446605641
ALG1,2,56.14883589000847
ALG1,3,61.369256795818416
ALG1,4,59.748898132017594
ALG1,5,56.991792835738444
ALG1,6,55.68648120497216
ALG1,7,58.586523006205354
ALG1,8,57.27980942774866
ALG1,9,61.44661933433995
ALG1,10,61.18268923445781
ALG1,11,58.39502833207694
ALG1,12,56.15605641164919
ALG1,13,60.2046906470485
ALG1,14,62.39558399013706
ALG1,15,59.30012985292677
ALG1,16,56.39545954770662
ALG1,17,56.2159014048745
ALG1,18,61.723851990465995
ALG1,19,55.507291005702285
ALG1,20,60.79237369589658
ALG1,21,60.43750027299467
ALG1,22,60.35914602490336
ALG1,23,58.963353326702304
ALG1,24,57.075612125671185
ALG1,25,56.570521807126035
ALG1,26,61.10256238794374
ALG1,27,60.71862369692438
ALG1,28,58.7631398572678
ALG1,29,58.05001513029389
ALG2,1,33.69387077729382
ALG2,2,34.40989696332981
ALG2,3,36.14070944596276
ALG2,4,33.81024433556776
ALG2,5,38.56138703609955
ALG2,6,34.62088232067025
ALG2,7,32.37600438689848
ALG2,8,34.860821491942474
ALG2,9,34.04218924862093
ALG2,10,33.9716199524851
ALG2,11,30.70846883995177
ALG2,12,32.19427213841048
ALG2,13,33.66209623753687
ALG2,14,34.16692338856835
ALG2,15,39.99874047291625
ALG2,16,34.400873171166715
ALG2,17,36.67177221613237
ALG2,18,38.135279567640175
ALG2,19,33.38691232415655
ALG2,20,35.02137169589835
ALG2,21,33.09914184710555
ALG2,22,37.18917157681507
ALG2,23,38.24177713969855
ALG2,24,30.180520468715198
ALG2,25,35.118941440519194
ALG2,26,33.482610816792544
ALG2,27,33.84991325053907
ALG2,28,36.95007171426129
ALG2,29,40.685743415381566
ALG3,1,56.93824248441465
ALG3,2,55.936183401317074
ALG3,3,58.77178854642673
ALG3,4,58.57005365369128
ALG3,5,60.272183828337354
ALG3,6,57.01176309714907
ALG3,7,58.19768779716028
ALG3,8,59.018240857172586
ALG3,9,58.13188689030931
ALG3,10,57.130711368641926
ALG3,11,60.709828959833956
ALG3,12,58.58915101845764
ALG3,13,60.23714640686684
ALG3,14,57.61034674225211
ALG3,15,59.18543899388237
ALG3,16,59.64823610573712
ALG3,17,59.37460522271559
ALG3,18,59.80705635792778
ALG3,19,59.8729925241242
ALG3,20,57.059326007433434
ALG3,21,59.03996665867902
ALG3,22,59.49197926054716
ALG3,23,58.94149622188308
ALG3,24,58.8276929278017
ALG3,25,57.464401428238475
ALG3,26,59.44526505253443
ALG3,27,58.85378409955267
ALG3,28,57.49499336226419
ALG3,29,58.69193421072392
ALG4,1,3.4601937998907473
ALG4,2,3.447706956963368
ALG4,3,3.360891088241969
ALG4,4,3.60822723342712
ALG4,5,3.413944748887188
ALG4,6,3.6504879138895503
ALG4,7,3.456039086872983
ALG4,8,3.512329473735063
ALG4,9,3.5488766711325304
ALG4,10,3.449572013778245
ALG4,11,3.350408084183453
ALG4,12,3.5145254523241474
ALG4,13,3.3764193968862477
ALG4,14,3.6954230344163483
ALG4,15,3.673275372073703
ALG4,16,3.303799559942304
ALG4,17,3.4529058193607716
ALG4,18,3.4956502090863357
ALG4,19,3.6963239941916357
ALG4,20,3.5015054438899136
ALG4,21,3.4976985738871647
ALG4,22,3.2900595926641185
ALG4,23,3.52332643073671
ALG4,24,3.284201179749639
ALG4,25,3.4845162114039283
ALG4,26,3.4284311245268606
ALG4,27,3.601674559952872
ALG4,28,3.6060700631431537
ALG4,29,3.34206178363401
